iter	MultiClass
0	0.8050511818
1	0.6743809983
2	0.5931490617
3	0.5344738957
4	0.4936683693
5	0.4652958471
6	0.4470929244
7	0.4306553576
8	0.4157923587
9	0.4027016792
10	0.391462972
11	0.3839848017
12	0.3777967256
13	0.3712386026
14	0.3663061691
15	0.362792104
16	0.3574756173
17	0.3539430727
18	0.3506900715
19	0.3473950121
20	0.3428508913
21	0.3401834754
22	0.337286
23	0.3346546364
24	0.3322992998
25	0.3296964367
26	0.328179179
27	0.3264747534
28	0.3244476453
29	0.3226015804
30	0.3211918909
31	0.3193287693
32	0.3171065211
33	0.3157091581
34	0.3136905672
35	0.3124679958
36	0.3113102976
37	0.3103162995
38	0.3090739529
39	0.3074825436
40	0.3058187458
41	0.3043657821
42	0.3025951881
43	0.3014005639
44	0.2997047721
45	0.298533797
46	0.2972731788
47	0.2962327383
48	0.2952982048
49	0.2939382633
50	0.2929277225
51	0.292168465
52	0.290924111
53	0.2896936103
54	0.2890159478
55	0.2875705017
56	0.2866058925
57	0.2860101064
58	0.2849029216
59	0.2842790358
60	0.2832428471
61	0.2825556953
62	0.2817012044
63	0.2809595412
64	0.2802646528
65	0.2796395814
66	0.2788939598
67	0.2782529657
68	0.2774050463
69	0.2769402422
70	0.2763058389
71	0.2757072354
72	0.2752789176
73	0.2744630573
74	0.274008924
75	0.2732609864
76	0.272744862
77	0.2716417725
78	0.2710476453
79	0.2703544755
80	0.2697067385
81	0.2686351583
82	0.2679057364
83	0.2673210601
84	0.2667914924
85	0.2661642691
86	0.2656189113
87	0.265082717
88	0.2646236386
89	0.2642854071
90	0.263767566
91	0.2631059635
92	0.2628376879
93	0.2625687632
94	0.2619355524
95	0.2615960405
96	0.2610300151
97	0.2605733117
98	0.2599282413
99	0.2594924492
100	0.2589519712
101	0.2584523948
102	0.2581306286
103	0.2573916246
104	0.2569328805
105	0.2563722557
106	0.2559717666
107	0.2555176592
108	0.2552071112
109	0.254720894
110	0.2543687536
111	0.2537228634
112	0.253253954
113	0.2529675213
114	0.2521974269
115	0.2515184137
116	0.2510945211
117	0.2507690165
118	0.2502979561
119	0.2499681785
120	0.2495351895
121	0.2491325545
122	0.248879493
123	0.2485026611
124	0.24813175
125	0.2478409364
126	0.2472334502
127	0.2468452303
128	0.246340629
129	0.2458765728
130	0.2456957112
131	0.2454228619
132	0.2449286417
133	0.2445280547
134	0.2442174725
135	0.2438926264
136	0.2435854634
137	0.243237085
138	0.2428375814
139	0.2425380188
140	0.2420952466
141	0.2417748766
142	0.2415888214
143	0.2413498332
144	0.2411259015
145	0.2405145072
146	0.2401705241
147	0.2399197548
148	0.2396480351
149	0.239243849
150	0.2387408957
151	0.2383214648
152	0.2381000054
153	0.2378556372
154	0.2375408265
155	0.2373465604
156	0.2370832422
157	0.2368679934
158	0.2366589441
159	0.2363889947
160	0.2361750929
161	0.235950437
162	0.2357063472
163	0.2353456133
164	0.2351075868
165	0.2348129908
166	0.234506323
167	0.2340869304
168	0.233997903
169	0.2336860488
170	0.2334255383
171	0.2330999269
172	0.2328228274
173	0.2326707362
174	0.2322746169
175	0.2317814509
176	0.2313848117
177	0.2310675721
178	0.2307580165
179	0.2305389502
180	0.230307734
181	0.2300557815
182	0.2297978281
183	0.2293914796
184	0.2292379324
185	0.2290193416
186	0.2286885938
187	0.2284478903
188	0.2282364977
189	0.2280172631
190	0.227764032
191	0.2274693626
192	0.2272585279
193	0.2269243952
194	0.2266117455
195	0.2263625223
196	0.2261439003
197	0.225940279
198	0.2257482936
199	0.2254570612
200	0.2251358607
201	0.2249294578
202	0.2247076741
203	0.2244838587
204	0.2242789419
205	0.2240993989
206	0.2238356979
207	0.2234897126
208	0.2233175668
209	0.2229039621
210	0.2227314954
211	0.222560054
212	0.2223494639
213	0.222142289
214	0.2219123569
215	0.2217475717
216	0.2215442729
217	0.2214455781
218	0.2211225721
219	0.2209395449
220	0.2207293065
221	0.2205916807
222	0.2203993869
223	0.2201925741
224	0.2200189642
225	0.2197732059
226	0.2195920497
227	0.2193561049
228	0.2190625304
229	0.2189311507
230	0.2187362621
231	0.2186006568
232	0.2184572437
233	0.2182946225
234	0.2181611583
235	0.2178693775
236	0.2175747739
237	0.2173589278
238	0.2171508107
239	0.217030512
240	0.2169671062
241	0.2165780399
242	0.216305913
243	0.2161577145
244	0.2160333721
245	0.2158988656
246	0.2156239192
247	0.2154067353
248	0.2151940224
249	0.2151129144
250	0.2150079256
251	0.2148520246
252	0.2146700327
253	0.2144989125
254	0.2142210899
255	0.214036985
256	0.2138444898
257	0.2136484586
258	0.2135095949
259	0.2133892148
260	0.2130976041
261	0.2129353719
262	0.2127401211
263	0.2125420982
264	0.2123936674
265	0.2121864481
266	0.2121082114
267	0.2119154065
268	0.2117852701
269	0.2115387419
270	0.2112261681
271	0.2110129404
272	0.210852058
273	0.2107197309
274	0.2104927596
275	0.2103100501
276	0.2100762865
277	0.209894987
278	0.2097078742
279	0.2095141806
280	0.2093750073
281	0.2092388516
282	0.2090517479
283	0.2089090512
284	0.2087212793
285	0.2085338851
286	0.2084247828
287	0.2083097646
288	0.2080561198
289	0.207847756
290	0.207743492
291	0.2074982468
292	0.2073283685
293	0.2071616411
294	0.2070453273
295	0.2069119893
296	0.2066719925
297	0.2065219517
298	0.2064322934
299	0.2063081939
300	0.2061431673
301	0.2059890882
302	0.2058450582
303	0.2057084298
304	0.20554886
305	0.2053986392
306	0.2053282701
307	0.2051729043
308	0.2049251483
309	0.2048152111
310	0.2046912519
311	0.2045446985
312	0.2044446771
313	0.2044107867
314	0.2042425916
315	0.2041313897
316	0.2039959508
317	0.2038554672
318	0.2035966316
319	0.2035106278
320	0.203329021
321	0.2032064641
322	0.2030612272
323	0.2029874631
324	0.2028118218
325	0.2026660766
326	0.2024335455
327	0.2022330795
328	0.202097826
329	0.2019909894
330	0.2018465827
331	0.2017020542
332	0.2015773143
333	0.2014804835
334	0.20138862
335	0.201273676
336	0.2011534953
337	0.2010142455
338	0.2008806159
339	0.2007105607
340	0.200555223
341	0.2004383605
342	0.2001860324
343	0.2001029194
344	0.1999986501
345	0.1998353346
346	0.1996960042
347	0.199535423
348	0.1993920895
349	0.1992463976
350	0.199119585
351	0.198931879
352	0.1987810154
353	0.198640129
354	0.1985431485
355	0.1984357602
356	0.1983367996
357	0.1981950129
358	0.1980380938
359	0.1979460149
360	0.197853519
361	0.197599723
362	0.1974523075
363	0.1972868477
364	0.1971165452
365	0.1969573016
366	0.196871522
367	0.1967795622
368	0.1966570307
369	0.1964929132
370	0.1963676951
371	0.1962761895
372	0.1961408258
373	0.1960723355
374	0.1959105848
375	0.1957601937
376	0.1956535179
377	0.195555021
378	0.1953553129
379	0.1952317136
380	0.1951463151
381	0.1950441717
382	0.1949435046
383	0.1948068809
384	0.1947179749
385	0.1946047791
386	0.1943725859
387	0.1942187063
388	0.1941142346
389	0.1939779333
390	0.193869139
391	0.1937401159
392	0.1934524555
393	0.193327863
394	0.1932616995
395	0.1931093216
396	0.1929647715
397	0.1928745345
398	0.1926758832
399	0.1925499956
400	0.1924095478
401	0.1922710603
402	0.1921449699
403	0.1920145928
404	0.1919175254
405	0.191743921
406	0.1916453138
407	0.1915187159
408	0.1913874003
409	0.1913021717
410	0.1912376808
411	0.1911564909
412	0.1910393643
413	0.190953007
414	0.1908564048
415	0.1907089681
416	0.1906094062
417	0.190478934
418	0.1903037866
419	0.1902114272
420	0.1900680884
421	0.1899351776
422	0.1898427236
423	0.1897170942
424	0.1896300799
425	0.189443575
426	0.1893059486
427	0.1892116905
428	0.1890966097
429	0.1890159527
430	0.1889137151
431	0.1888155552
432	0.1887272728
433	0.1885469182
434	0.1884747267
435	0.1883500893
436	0.1882371906
437	0.1881546374
438	0.1879888285
439	0.1878703329
440	0.1877201307
441	0.1876245467
442	0.1875484341
443	0.1873738297
444	0.187245454
445	0.1871854153
446	0.1869984927
447	0.1869441201
448	0.1868965939
449	0.18684548
450	0.1867069842
451	0.1865310445
452	0.1864512016
453	0.186348621
454	0.1862835835
455	0.1861408356
456	0.1860022288
457	0.1858450905
458	0.1857380704
459	0.1855750861
460	0.1855136905
461	0.1853712407
462	0.1851904765
463	0.1851196462
464	0.1850045825
465	0.1848464038
466	0.1847036227
467	0.1846275593
468	0.1845197374
469	0.1843738706
470	0.1842517714
471	0.1841258552
472	0.1839983737
473	0.1839518021
474	0.1838740058
475	0.1837093214
476	0.1835932231
477	0.1834537472
478	0.1833574209
479	0.183164614
480	0.1830508706
481	0.1829209939
482	0.1828591945
483	0.1826995976
484	0.182633161
485	0.1825103939
486	0.1823983856
487	0.1822235124
488	0.1821199124
489	0.1819735007
490	0.1818258233
491	0.1817062527
492	0.1815835444
493	0.1814840575
494	0.181340729
495	0.1812464669
496	0.1811473718
497	0.1809890757
498	0.1809462301
499	0.1808618542
500	0.1807695017
501	0.1806862032
502	0.1806193816
503	0.1805234027
504	0.1803873207
505	0.1802771217
506	0.1801439964
507	0.1800055852
508	0.1798919901
509	0.1797908842
510	0.1796611301
511	0.1795749793
512	0.1794850372
513	0.1793551876
514	0.1792761565
515	0.1792156844
516	0.1791288137
517	0.1789991207
518	0.1789288503
519	0.1788647636
520	0.1787529488
521	0.1786392422
522	0.1785575534
523	0.1784579578
524	0.1783160086
525	0.1782137714
526	0.1780820236
527	0.1779526153
528	0.1778173738
529	0.1777212905
530	0.1776376052
531	0.1775224586
532	0.1773704066
533	0.1772821113
534	0.1771725461
535	0.1770882836
536	0.1769799225
537	0.1768689346
538	0.1767529572
539	0.1766090649
540	0.1764761627
541	0.1763893535
542	0.1762899223
543	0.1761815247
544	0.1761217826
545	0.1760511407
546	0.175922543
547	0.1758505771
548	0.1757507964
549	0.175651978
550	0.1755667984
551	0.1754840707
552	0.1753385387
553	0.1752356914
554	0.1751849656
555	0.1751239052
556	0.1750532716
557	0.1749309448
558	0.1748149069
559	0.1747067774
560	0.1746180513
561	0.174546252
562	0.1744443733
563	0.1743728846
564	0.1742703261
565	0.1741622568
566	0.1741160546
567	0.1740564905
568	0.1739919828
569	0.1739018582
570	0.1737871703
571	0.1737273602
572	0.1735939462
573	0.17352688
574	0.1734343248
575	0.1733823135
576	0.1732957219
577	0.1731519297
578	0.1730584818
579	0.1729436624
580	0.1729008177
581	0.1727414491
582	0.1726495727
583	0.1725585055
584	0.1724684378
585	0.1723906652
586	0.1723306714
587	0.1722240845
588	0.1721291067
589	0.1720503465
590	0.171883636
591	0.1718257504
592	0.1717355016
593	0.171613777
594	0.171547355
595	0.1714611815
596	0.1713485938
597	0.1712643078
598	0.1712201544
599	0.1711414238
600	0.1710734728
601	0.171006232
602	0.1708912568
603	0.1708096028
604	0.1706888209
605	0.1706110622
606	0.1705210981
607	0.1704003723
608	0.1702579738
609	0.1701679096
610	0.1701222654
611	0.1700221078
612	0.1699294617
613	0.1698405706
614	0.1697014488
615	0.1695947845
616	0.1695200655
617	0.1693213406
618	0.1692223509
619	0.169144825
620	0.1690918567
621	0.1689821252
622	0.1688699441
623	0.1687890545
624	0.1686904819
625	0.1686362417
626	0.1685445748
627	0.1684764596
628	0.1684074998
629	0.1683091625
630	0.168203103
631	0.1680771545
632	0.1680339404
633	0.1679715889
634	0.1678513185
635	0.1677247444
636	0.1676284154
637	0.1675681888
638	0.1674742758
639	0.1673435855
640	0.1672872779
641	0.1671964915
642	0.1671268829
643	0.1670017025
644	0.1669400145
645	0.1668037611
646	0.1667271965
647	0.1666332104
648	0.1665622588
649	0.1664756345
650	0.1663797795
651	0.1662542683
652	0.166162016
653	0.1660354194
654	0.1659835437
655	0.1659253179
656	0.165887835
657	0.1657961104
658	0.1656795609
659	0.1656058579
660	0.1655420125
661	0.1654325634
662	0.1653334487
663	0.1652820031
664	0.165195504
665	0.1651402768
666	0.1650643476
667	0.1649547337
668	0.1648965689
669	0.1648121153
670	0.1647925124
671	0.1647024991
672	0.1646561644
673	0.1645252525
674	0.1644658981
675	0.1643864004
676	0.1643393691
677	0.1642855096
678	0.1641358262
679	0.1640430967
680	0.1640054733
681	0.163938485
682	0.1638871131
683	0.1638098847
684	0.1637027326
685	0.1636268278
686	0.163537992
687	0.1634774439
688	0.1633925695
689	0.1633130224
690	0.1632396462
691	0.1631631842
692	0.1630209624
693	0.1629219443
694	0.1628594057
695	0.162780736
696	0.1626857508
697	0.1625526423
698	0.1624229361
699	0.1623174885
700	0.1622395158
701	0.1621508752
702	0.1620636586
703	0.1620057767
704	0.1619066079
705	0.161859809
706	0.1617858448
707	0.1616591491
708	0.1616190034
709	0.1615288471
710	0.161433187
711	0.1613397327
712	0.1612667864
713	0.1611337245
714	0.161039034
715	0.1609921369
716	0.1609435888
717	0.1608448435
718	0.1607852398
719	0.1607199464
720	0.1606492417
721	0.1605923198
722	0.160550458
723	0.1604601499
724	0.1603947596
725	0.160323915
726	0.1602424465
727	0.1601549586
728	0.1600488323
729	0.1599347397
730	0.1598646503
731	0.1597381556
732	0.1596182621
733	0.1595248786
734	0.1594591023
735	0.1593970784
736	0.1593110917
737	0.1592343819
738	0.1591339838
739	0.1590769657
740	0.1589896098
741	0.1589516104
742	0.1589043849
743	0.1588323962
744	0.158788599
745	0.1586674178
746	0.1585660842
747	0.1585120057
748	0.1584678457
749	0.1584051611
