iter	Passed	Remaining
0	139	137106
1	243	119405
2	348	114086
3	463	113540
4	562	110200
5	659	107514
6	737	102989
7	816	99607
8	906	98154
9	1010	98445
10	1097	97068
11	1190	96456
12	1285	95996
13	1383	95841
14	1464	94602
15	1542	93322
16	1622	92299
17	1705	91525
18	1782	90506
19	1864	89845
20	1972	90446
21	2048	89557
22	2148	89780
23	2243	89744
24	2328	89311
25	2407	88693
26	2492	88342
27	2571	87802
28	2656	87473
29	2729	86804
30	2808	86334
31	2892	86064
32	3004	86577
33	3084	86198
34	3184	86340
35	3260	85860
36	3339	85466
37	3410	84896
38	3490	84572
39	3581	84523
40	3670	84421
41	3757	84278
42	3857	84411
43	3943	84246
44	4045	84425
45	4143	84495
46	4225	84233
47	4304	83930
48	4385	83682
49	4481	83716
50	4560	83428
51	4636	83100
52	4727	83034
53	4818	82977
54	4898	82741
55	4985	82615
56	5064	82369
57	5140	82078
58	5247	82262
59	5325	82019
60	5411	81879
61	5494	81702
62	5581	81602
63	5660	81362
64	5737	81117
65	5821	80968
66	5900	80757
67	5988	80668
68	6081	80640
69	6155	80374
70	6237	80211
71	6319	80049
72	6389	79738
73	6478	79673
74	6550	79394
75	6638	79312
76	6720	79158
77	6838	79431
78	6930	79392
79	7028	79426
80	7115	79328
81	7222	79445
82	7303	79283
83	7387	79149
84	7469	79000
85	7556	78908
86	7646	78841
87	7743	78837
88	7823	78671
89	7896	78439
90	7992	78435
91	8085	78398
92	8159	78174
93	8238	77998
94	8326	77917
95	8568	79255
96	8709	79640
97	8816	79704
98	8917	79716
99	9015	79694
100	9107	79622
101	9184	79421
102	9271	79306
103	9362	79225
104	9458	79180
105	9559	79179
106	9665	79220
107	9761	79175
108	9839	78990
109	9936	78953
110	10028	78874
111	10117	78770
112	10206	78669
113	10289	78526
114	10400	78591
115	10505	78608
116	10594	78505
117	10692	78469
118	10789	78424
119	10863	78215
120	10952	78113
121	11045	78040
122	11118	77828
123	11203	77704
124	11289	77580
125	11360	77356
126	11461	77343
127	11549	77237
128	11645	77182
129	11735	77096
130	11813	76921
131	11902	76822
132	11999	76776
133	12084	76653
134	12174	76565
135	12270	76507
